Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Periodo,Total,Provincias_Cod,Año,Mes,Total_scaled
Total Nacional,07 Castilla y León,40 Segovia,2023-02-01,0.59,40,2023,2,0.10224948875255621
Total Nacional,07 Castilla y León,40 Segovia,2022-08-01,0.59,40,2022,8,0.10224948875255621
Total Nacional,07 Castilla y León,40 Segovia,2022-02-01,0.52,40,2022,2,0.08793456032719835
Total Nacional,07 Castilla y León,40 Segovia,2021-08-01,0.56,40,2021,8,0.09611451942740287
Total Nacional,07 Castilla y León,40 Segovia,2021-02-01,0.55,40,2021,2,0.09406952965235174
Total Nacional,07 Castilla y León,40 Segovia,2020-08-01,0.62,40,2020,8,0.10838445807770958
Total Nacional,07 Castilla y León,42 Soria,2024-08-01,0.73,42,2024,8,0.13087934560327197
Total Nacional,07 Castilla y León,42 Soria,2024-02-01,0.57,42,2024,2,0.09815950920245398
Total Nacional,07 Castilla y León,42 Soria,2023-08-01,0.53,42,2023,8,0.08997955010224948
Total Nacional,07 Castilla y León,42 Soria,2023-02-01,0.47,42,2023,2,0.07770961145194272
Total Nacional,07 Castilla y León,42 Soria,2022-08-01,0.49,42,2022,8,0.08179959100204498
Total Nacional,07 Castilla y León,42 Soria,2022-02-01,0.44,42,2022,2,0.07157464212678935
Total Nacional,07 Castilla y León,42 Soria,2021-08-01,0.45,42,2021,8,0.07361963190184048
Total Nacional,07 Castilla y León,42 Soria,2021-02-01,0.38,42,2021,2,0.05930470347648261
Total Nacional,07 Castilla y León,42 Soria,2020-08-01,0.42,42,2020,8,0.06748466257668712
Total Nacional,07 Castilla y León,47 Valladolid,2024-08-01,0.23,47,2024,8,0.028629856850715743
Total Nacional,07 Castilla y León,47 Valladolid,2024-02-01,0.21,47,2024,2,0.024539877300613494
